id,order_id,product_id,quantity,total,updated_at_x,created_at_x,name,price,status,date,time,weekday,hour
76,38,2,2,30,2025-04-24 17:19:50,2025-04-24 17:19:50,samosa,15,1,2025-04-24,17:19:50,Thursday,17
77,38,3,5,50,2025-04-24 17:19:50,2025-04-24 17:19:50,chaii,10,1,2025-04-24,17:19:50,Thursday,17
78,39,2,5,75,2025-04-26 09:22:06,2025-04-26 09:22:06,samosa,15,1,2025-04-26,09:22:06,Saturday,9
79,39,3,4,40,2025-04-26 09:22:06,2025-04-26 09:22:06,chaii,10,1,2025-04-26,09:22:06,Saturday,9
80,40,2,3,45,2025-04-29 05:27:19,2025-04-29 05:27:19,samosa,15,1,2025-04-29,05:27:19,Tuesday,5
81,40,3,3,30,2025-04-29 05:27:19,2025-04-29 05:27:19,chaii,10,1,2025-04-29,05:27:19,Tuesday,5
82,41,2,3,45,2025-04-29 05:27:20,2025-04-29 05:27:20,samosa,15,1,2025-04-29,05:27:20,Tuesday,5
83,41,3,3,30,2025-04-29 05:27:20,2025-04-29 05:27:20,chaii,10,1,2025-04-29,05:27:20,Tuesday,5
84,42,2,3,45,2025-04-29 07:26:50,2025-04-29 07:26:50,samosa,15,1,2025-04-29,07:26:50,Tuesday,7
85,42,4,3,30,2025-04-29 07:26:50,2025-04-29 07:26:50,moms magik biscute,10,1,2025-04-29,07:26:50,Tuesday,7
86,42,6,1,35,2025-04-29 07:26:50,2025-04-29 07:26:50,Lassi,35,1,2025-04-29,07:26:50,Tuesday,7
87,42,7,2,20,2025-04-29 07:26:50,2025-04-29 07:26:50,Chach,10,1,2025-04-29,07:26:50,Tuesday,7
88,43,2,2,30,2025-04-29 15:45:02,2025-04-29 15:45:02,samosa,15,1,2025-04-29,15:45:02,Tuesday,15
89,43,3,3,30,2025-04-29 15:45:02,2025-04-29 15:45:02,chaii,10,1,2025-04-29,15:45:02,Tuesday,15
90,43,7,3,30,2025-04-29 15:45:02,2025-04-29 15:45:02,Chach,10,1,2025-04-29,15:45:02,Tuesday,15
91,44,2,2,30,2025-04-29 15:45:02,2025-04-29 15:45:02,samosa,15,1,2025-04-29,15:45:02,Tuesday,15
92,44,3,3,30,2025-04-29 15:45:02,2025-04-29 15:45:02,chaii,10,1,2025-04-29,15:45:02,Tuesday,15
93,44,7,3,30,2025-04-29 15:45:02,2025-04-29 15:45:02,Chach,10,1,2025-04-29,15:45:02,Tuesday,15
94,45,2,3,45,2025-04-29 15:45:25,2025-04-29 15:45:25,samosa,15,1,2025-04-29,15:45:25,Tuesday,15
95,45,3,3,30,2025-04-29 15:45:25,2025-04-29 15:45:25,chaii,10,1,2025-04-29,15:45:25,Tuesday,15
96,45,4,3,30,2025-04-29 15:45:25,2025-04-29 15:45:25,moms magik biscute,10,1,2025-04-29,15:45:25,Tuesday,15
97,46,2,2,30,2025-05-01 06:06:47,2025-05-01 06:06:47,samosa,15,1,2025-05-01,06:06:47,Thursday,6
98,46,3,3,30,2025-05-01 06:06:47,2025-05-01 06:06:47,chaii,10,1,2025-05-01,06:06:47,Thursday,6
99,46,7,2,20,2025-05-01 06:06:47,2025-05-01 06:06:47,Chach,10,1,2025-05-01,06:06:47,Thursday,6
100,47,2,4,60,2025-05-01 14:31:08,2025-05-01 14:31:08,samosa,15,1,2025-05-01,14:31:08,Thursday,14
101,48,2,2,30,2025-05-02 08:43:13,2025-05-02 08:43:13,samosa,15,1,2025-05-02,08:43:13,Friday,8
